dteday,season,yr,hr,riders,rider_type,price,COGS,Revenue,Expense,profit
2021-01-02 00:00:00.0000000,1,0,16,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-02 00:00:00.0000000,1,0,17,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-02 00:00:00.0000000,1,0,18,10,casual,3.99,1.24,39.9,12.4,27.5
2021-01-02 00:00:00.0000000,1,0,19,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-02 00:00:00.0000000,1,0,20,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-02 00:00:00.0000000,1,0,21,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-02 00:00:00.0000000,1,0,22,0,casual,3.99,1.24,0,0,0
2021-01-02 00:00:00.0000000,1,0,23,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,7,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-03 00:00:00.0000000,1,0,8,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-03 00:00:00.0000000,1,0,9,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-03 00:00:00.0000000,1,0,10,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-03 00:00:00.0000000,1,0,11,10,casual,3.99,1.24,39.9,12.4,27.5
2021-01-03 00:00:00.0000000,1,0,12,13,casual,3.99,1.24,51.87,16.12,35.75
2021-01-03 00:00:00.0000000,1,0,13,8,casual,3.99,1.24,31.92,9.92,22
2021-01-03 00:00:00.0000000,1,0,14,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-03 00:00:00.0000000,1,0,15,14,casual,3.99,1.24,55.86,17.36,38.5
2021-01-03 00:00:00.0000000,1,0,16,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-03 00:00:00.0000000,1,0,17,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-03 00:00:00.0000000,1,0,18,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-03 00:00:00.0000000,1,0,19,8,casual,3.99,1.24,31.92,9.92,22
2021-01-03 00:00:00.0000000,1,0,20,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-03 00:00:00.0000000,1,0,21,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-03 00:00:00.0000000,1,0,22,0,casual,3.99,1.24,0,0,0
2021-01-03 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-04 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,7,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-04 00:00:00.0000000,1,0,8,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-04 00:00:00.0000000,1,0,9,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-04 00:00:00.0000000,1,0,10,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-04 00:00:00.0000000,1,0,11,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-04 00:00:00.0000000,1,0,12,12,casual,3.99,1.24,47.88,14.88,33
2021-01-04 00:00:00.0000000,1,0,13,18,casual,3.99,1.24,71.82,22.32,49.5
2021-01-04 00:00:00.0000000,1,0,14,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-04 00:00:00.0000000,1,0,15,17,casual,3.99,1.24,67.83,21.08,46.75
2021-01-04 00:00:00.0000000,1,0,16,15,casual,3.99,1.24,59.85,18.6,41.25
2021-01-04 00:00:00.0000000,1,0,17,10,casual,3.99,1.24,39.9,12.4,27.5
2021-01-04 00:00:00.0000000,1,0,18,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-04 00:00:00.0000000,1,0,19,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-04 00:00:00.0000000,1,0,20,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-04 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-04 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-04 00:00:00.0000000,1,0,23,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-05 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-05 00:00:00.0000000,1,0,7,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-05 00:00:00.0000000,1,0,8,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-05 00:00:00.0000000,1,0,9,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-05 00:00:00.0000000,1,0,10,4,casual,3.99,1.24,15.96,4.96,11
2021-01-05 00:00:00.0000000,1,0,11,12,casual,3.99,1.24,47.88,14.88,33
2021-01-05 00:00:00.0000000,1,0,12,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-05 00:00:00.0000000,1,0,13,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-05 00:00:00.0000000,1,0,14,10,casual,3.99,1.24,39.9,12.4,27.5
2021-01-05 00:00:00.0000000,1,0,15,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-05 00:00:00.0000000,1,0,16,4,casual,3.99,1.24,15.96,4.96,11
2021-01-05 00:00:00.0000000,1,0,17,4,casual,3.99,1.24,15.96,4.96,11
2021-01-05 00:00:00.0000000,1,0,18,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-05 00:00:00.0000000,1,0,19,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-05 00:00:00.0000000,1,0,20,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-05 00:00:00.0000000,1,0,21,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-05 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-05 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-06 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,7,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,8,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-06 00:00:00.0000000,1,0,9,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-06 00:00:00.0000000,1,0,10,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-06 00:00:00.0000000,1,0,11,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-06 00:00:00.0000000,1,0,12,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-06 00:00:00.0000000,1,0,13,12,casual,3.99,1.24,47.88,14.88,33
2021-01-06 00:00:00.0000000,1,0,14,11,casual,3.99,1.24,43.89,13.64,30.25
2021-01-06 00:00:00.0000000,1,0,15,8,casual,3.99,1.24,31.92,9.92,22
2021-01-06 00:00:00.0000000,1,0,16,12,casual,3.99,1.24,47.88,14.88,33
2021-01-06 00:00:00.0000000,1,0,17,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-06 00:00:00.0000000,1,0,18,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-06 00:00:00.0000000,1,0,19,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-06 00:00:00.0000000,1,0,20,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-06 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-06 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-06 00:00:00.0000000,1,0,23,4,casual,3.99,1.24,15.96,4.96,11
2021-01-07 00:00:00.0000000,1,0,0,4,casual,3.99,1.24,15.96,4.96,11
2021-01-07 00:00:00.0000000,1,0,1,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-07 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-07 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-07 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-07 00:00:00.0000000,1,0,6,8,casual,3.99,1.24,31.92,9.92,22
2021-01-07 00:00:00.0000000,1,0,7,8,casual,3.99,1.24,31.92,9.92,22
2021-01-07 00:00:00.0000000,1,0,8,20,casual,3.99,1.24,79.8,24.8,55
2021-01-07 00:00:00.0000000,1,0,9,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-07 00:00:00.0000000,1,0,10,16,casual,3.99,1.24,63.84,19.84,44
2021-01-07 00:00:00.0000000,1,0,11,19,casual,3.99,1.24,75.81,23.56,52.25
2021-01-07 00:00:00.0000000,1,0,12,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-07 00:00:00.0000000,1,0,13,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-07 00:00:00.0000000,1,0,14,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-07 00:00:00.0000000,1,0,15,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-07 00:00:00.0000000,1,0,16,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-07 00:00:00.0000000,1,0,17,9,casual,3.99,1.24,35.91,11.16,24.75
2021-01-07 00:00:00.0000000,1,0,18,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-07 00:00:00.0000000,1,0,19,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-07 00:00:00.0000000,1,0,20,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-07 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-07 00:00:00.0000000,1,0,22,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-07 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-08 00:00:00.0000000,1,0,0,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-08 00:00:00.0000000,1,0,1,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-08 00:00:00.0000000,1,0,2,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-08 00:00:00.0000000,1,0,3,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,7,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-08 00:00:00.0000000,1,0,8,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,9,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,10,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-08 00:00:00.0000000,1,0,11,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-08 00:00:00.0000000,1,0,12,8,casual,3.99,1.24,31.92,9.92,22
2021-01-08 00:00:00.0000000,1,0,13,7,casual,3.99,1.24,27.93,8.68,19.25
2021-01-08 00:00:00.0000000,1,0,14,12,casual,3.99,1.24,47.88,14.88,33
2021-01-08 00:00:00.0000000,1,0,15,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-08 00:00:00.0000000,1,0,16,8,casual,3.99,1.24,31.92,9.92,22
2021-01-08 00:00:00.0000000,1,0,17,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-08 00:00:00.0000000,1,0,18,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-08 00:00:00.0000000,1,0,19,4,casual,3.99,1.24,15.96,4.96,11
2021-01-08 00:00:00.0000000,1,0,20,0,casual,3.99,1.24,0,0,0
2021-01-08 00:00:00.0000000,1,0,21,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-08 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-08 00:00:00.0000000,1,0,23,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,0,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-09 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,3,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,7,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-09 00:00:00.0000000,1,0,8,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,9,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,10,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,11,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-09 00:00:00.0000000,1,0,12,4,casual,3.99,1.24,15.96,4.96,11
2021-01-09 00:00:00.0000000,1,0,13,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-09 00:00:00.0000000,1,0,14,8,casual,3.99,1.24,31.92,9.92,22
2021-01-09 00:00:00.0000000,1,0,15,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-09 00:00:00.0000000,1,0,16,13,casual,3.99,1.24,51.87,16.12,35.75
2021-01-09 00:00:00.0000000,1,0,17,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-09 00:00:00.0000000,1,0,18,4,casual,3.99,1.24,15.96,4.96,11
2021-01-09 00:00:00.0000000,1,0,19,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-09 00:00:00.0000000,1,0,20,0,casual,3.99,1.24,0,0,0
2021-01-09 00:00:00.0000000,1,0,21,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-09 00:00:00.0000000,1,0,22,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-09 00:00:00.0000000,1,0,23,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,0,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,1,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-10 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,3,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,4,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-10 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,7,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,8,4,casual,3.99,1.24,15.96,4.96,11
2021-01-10 00:00:00.0000000,1,0,9,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,10,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,11,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,12,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-10 00:00:00.0000000,1,0,13,4,casual,3.99,1.24,15.96,4.96,11
2021-01-10 00:00:00.0000000,1,0,14,0,casual,3.99,1.24,0,0,0
2021-01-10 00:00:00.0000000,1,0,15,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,16,4,casual,3.99,1.24,15.96,4.96,11
2021-01-10 00:00:00.0000000,1,0,17,4,casual,3.99,1.24,15.96,4.96,11
2021-01-10 00:00:00.0000000,1,0,18,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-10 00:00:00.0000000,1,0,19,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-10 00:00:00.0000000,1,0,20,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-10 00:00:00.0000000,1,0,21,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-10 00:00:00.0000000,1,0,22,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-10 00:00:00.0000000,1,0,23,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,0,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-11 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,7,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-11 00:00:00.0000000,1,0,8,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-11 00:00:00.0000000,1,0,9,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-11 00:00:00.0000000,1,0,10,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-11 00:00:00.0000000,1,0,11,4,casual,3.99,1.24,15.96,4.96,11
2021-01-11 00:00:00.0000000,1,0,12,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-11 00:00:00.0000000,1,0,13,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-11 00:00:00.0000000,1,0,14,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-11 00:00:00.0000000,1,0,15,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-11 00:00:00.0000000,1,0,16,4,casual,3.99,1.24,15.96,4.96,11
2021-01-11 00:00:00.0000000,1,0,17,6,casual,3.99,1.24,23.94,7.44,16.5
2021-01-11 00:00:00.0000000,1,0,18,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-11 00:00:00.0000000,1,0,19,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,20,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-11 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-11 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-12 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,7,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,8,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-12 00:00:00.0000000,1,0,9,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-12 00:00:00.0000000,1,0,10,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,11,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-12 00:00:00.0000000,1,0,12,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-12 00:00:00.0000000,1,0,13,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,14,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,15,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-12 00:00:00.0000000,1,0,16,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-12 00:00:00.0000000,1,0,17,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,18,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-12 00:00:00.0000000,1,0,19,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-12 00:00:00.0000000,1,0,20,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-12 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-12 00:00:00.0000000,1,0,22,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-12 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-13 00:00:00.0000000,1,0,0,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-13 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,2,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,3,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,4,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,5,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,6,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,7,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,8,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-13 00:00:00.0000000,1,0,9,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-13 00:00:00.0000000,1,0,10,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-13 00:00:00.0000000,1,0,11,4,casual,3.99,1.24,15.96,4.96,11
2021-01-13 00:00:00.0000000,1,0,12,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-13 00:00:00.0000000,1,0,13,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-13 00:00:00.0000000,1,0,14,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-13 00:00:00.0000000,1,0,15,5,casual,3.99,1.24,19.95,6.2,13.75
2021-01-13 00:00:00.0000000,1,0,16,2,casual,3.99,1.24,7.98,2.48,5.5
2021-01-13 00:00:00.0000000,1,0,17,4,casual,3.99,1.24,15.96,4.96,11
2021-01-13 00:00:00.0000000,1,0,18,3,casual,3.99,1.24,11.97,3.72,8.25
2021-01-13 00:00:00.0000000,1,0,19,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-13 00:00:00.0000000,1,0,20,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,21,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,22,0,casual,3.99,1.24,0,0,0
2021-01-13 00:00:00.0000000,1,0,23,1,casual,3.99,1.24,3.99,1.24,2.75
2021-01-14 00:00:00.0000000,1,0,0,0,casual,3.99,1.24,0,0,0
2021-01-14 00:00:00.0000000,1,0,1,0,casual,3.99,1.24,0,0,0
